video_name,ID,ori_label,new_label
Cls1_Livestreaming_video1,2,scene,scene
Cls1_Livestreaming_video1,3,caption,subtitle
Cls1_Livestreaming_video1,4,caption,subtitle
Cls1_Livestreaming_video1,1,caption,subtitle
Cls1_Livestreaming_video1,5,scene,scene
Cls1_Livestreaming_video1,6,scene,scene
Cls1_Livestreaming_video1,7,scene,scene
Cls1_Livestreaming_video1,8,caption,subtitle
Cls1_Livestreaming_video1,9,scene,scene
Cls1_Livestreaming_video1,10,caption,subtitle
Cls1_Livestreaming_video2,2,caption,subtitle
Cls1_Livestreaming_video2,3,caption,subtitle
Cls1_Livestreaming_video2,4,caption,subtitle
Cls1_Livestreaming_video2,5,caption,subtitle
Cls1_Livestreaming_video2,6,caption,subtitle
Cls1_Livestreaming_video2,7,caption,subtitle
Cls1_Livestreaming_video2,8,caption,subtitle
Cls1_Livestreaming_video2,9,scene,scene
Cls1_Livestreaming_video2,10,scene,scene
Cls1_Livestreaming_video2,11,scene,scene
Cls1_Livestreaming_video2,12,caption,subtitle
Cls1_Livestreaming_video2,13,scene,scene
Cls1_Livestreaming_video2,14,scene,scene
Cls1_Livestreaming_video2,15,caption,subtitle
Cls1_Livestreaming_video2,16,scene,scene
Cls1_Livestreaming_video2,17,scene,scene
Cls1_Livestreaming_video2,18,scene,scene
Cls1_Livestreaming_video2,19,scene,scene
Cls1_Livestreaming_video2,20,scene,scene
Cls1_Livestreaming_video2,21,caption,subtitle
Cls1_Livestreaming_video2,22,caption,subtitle
Cls1_Livestreaming_video2,23,caption,subtitle
Cls1_Livestreaming_video2,24,caption,subtitle
Cls1_Livestreaming_video2,25,caption,subtitle
Cls1_Livestreaming_video2,1,caption,subtitle
Cls1_Livestreaming_video2,26,caption,subtitle
Cls1_Livestreaming_video2,27,caption,subtitle
Cls1_Livestreaming_video2,28,caption,subtitle
Cls1_Livestreaming_video2,29,scene,scene
Cls1_Livestreaming_video2,30,scene,scene
Cls1_Livestreaming_video2,31,scene,scene
Cls1_Livestreaming_video2,32,scene,scene
Cls1_Livestreaming_video2,33,caption,other
Cls1_Livestreaming_video2,34,caption,other
Cls1_Livestreaming_video3,221,caption,subtitle
Cls1_Livestreaming_video3,222,caption,subtitle
Cls1_Livestreaming_video4,1,scene,scene
Cls1_Livestreaming_video4,2,scene,scene
Cls1_Livestreaming_video4,4,scene,scene
Cls1_Livestreaming_video4,5,scene,scene
Cls1_Livestreaming_video5,1,title,title
Cls1_Livestreaming_video5,2,title,title
Cls1_Livestreaming_video5,3,title,title
Cls1_Livestreaming_video5,18,scene,scene
Cls1_Livestreaming_video5,19,scene,scene
